iter	Passed	Remaining
0	212	63673
1	245	36645
2	278	27599
3	311	23034
4	343	20272
5	376	18470
6	409	17120
7	442	16167
8	475	15368
9	507	14720
10	545	14334
11	588	14126
12	629	13906
13	661	13523
14	696	13239
15	729	12949
16	763	12712
17	797	12488
18	827	12237
19	860	12041
20	900	11968
21	931	11770
22	961	11582
23	994	11431
24	1025	11276
25	1063	11207
26	1095	11072
27	1124	10923
28	1158	10826
29	1191	10723
30	1223	10618
31	1258	10542
32	1300	10522
33	1333	10429
34	1363	10321
35	1395	10235
36	1430	10169
37	1465	10104
38	1500	10041
39	1531	9957
40	1568	9905
41	1599	9827
42	1632	9758
43	1670	9720
44	1713	9707
45	1745	9638
46	1750	9424
47	1781	9351
48	1814	9292
49	1843	9216
50	1872	9143
51	1909	9109
52	1944	9059
53	1974	8995
54	2005	8934
55	2041	8893
56	2073	8840
57	2104	8781
58	2140	8741
59	2168	8675
60	2206	8645
61	2235	8580
62	2265	8521
63	2293	8458
64	2323	8399
65	2356	8354
66	2392	8321
67	2424	8272
68	2458	8230
69	2493	8194
70	2529	8158
71	2557	8099
72	2585	8039
73	2616	7989
74	2656	7969
75	2704	7970
76	2733	7917
77	2764	7867
78	2797	7827
79	2830	7784
80	2859	7730
81	2892	7690
82	2922	7641
83	2952	7591
84	2984	7548
85	3014	7500
86	3042	7447
87	3072	7401
88	3078	7299
89	3117	7274
90	3146	7226
91	3174	7177
92	3203	7131
93	3237	7095
94	3270	7057
95	3302	7018
96	3339	6987
97	3368	6942
98	3410	6923
99	3440	6880
100	3472	6842
101	3502	6798
102	3528	6749
103	3555	6700
104	3580	6650
105	3611	6609
106	3639	6565
107	3665	6516
108	3694	6474
109	3724	6432
110	3754	6392
111	3781	6347
112	3810	6306
113	3838	6262
114	3864	6217
115	3890	6171
116	3918	6129
117	3946	6087
118	3977	6050
119	4008	6012
120	4040	5977
121	4070	5939
122	4103	5905
123	4133	5867
124	4167	5834
125	4198	5797
126	4228	5760
127	4256	5719
128	4282	5676
129	4306	5631
130	4333	5590
131	4363	5553
132	4390	5513
133	4422	5478
134	4452	5441
135	4478	5400
136	4503	5358
137	4530	5318
138	4555	5276
139	4582	5236
140	4608	5196
141	4632	5154
142	4656	5112
143	4684	5075
144	4709	5034
145	4734	4993
146	4757	4951
147	4787	4916
148	4816	4880
149	4843	4843
150	4878	4813
151	4919	4789
152	4948	4754
153	4986	4727
154	5017	4693
155	5049	4660
156	5091	4637
157	5119	4601
158	5145	4562
159	5175	4528
160	5200	4490
161	5228	4454
162	5260	4421
163	5286	4384
164	5314	4348
165	5342	4312
166	5368	4275
167	5398	4241
168	5426	4206
169	5453	4170
170	5476	4131
171	5499	4092
172	5521	4053
173	5545	4015
174	5567	3976
175	5589	3938
176	5616	3903
177	5639	3865
178	5662	3827
179	5686	3790
180	5709	3753
181	5734	3717
182	5761	3683
183	5785	3647
184	5809	3611
185	5834	3576
186	5960	3601
187	5989	3568
188	6018	3534
189	6049	3502
190	6077	3468
191	6104	3433
192	6133	3400
193	6163	3367
194	6188	3332
195	6216	3298
196	6240	3262
197	6265	3227
198	6291	3193
199	6316	3158
200	6341	3123
201	6370	3090
202	6392	3054
203	6422	3022
204	6454	2990
205	6487	2960
206	6514	2926
207	6540	2893
208	6566	2859
209	6592	2825
210	6618	2791
211	6643	2757
212	6671	2724
213	6697	2691
214	6722	2657
215	6746	2623
216	6772	2590
217	6799	2557
218	6824	2524
219	6850	2491
220	6879	2459
221	6921	2431
222	6949	2399
223	6977	2367
224	7005	2335
225	7032	2302
226	7060	2270
227	7088	2238
228	7118	2206
229	7143	2174
230	7169	2141
231	7196	2109
232	7223	2077
233	7250	2045
234	7280	2013
235	7312	1983
236	7348	1953
237	7387	1924
238	7424	1895
239	7459	1864
240	7499	1835
241	7555	1810
242	7587	1779
243	7621	1749
244	7654	1718
245	7686	1687
246	7726	1657
247	7759	1627
248	7794	1596
249	7828	1565
250	7861	1534
251	7898	1504
252	7935	1474
253	7971	1443
254	8007	1413
255	8047	1383
256	8082	1352
257	8116	1321
258	8155	1291
259	8193	1260
260	8231	1229
261	8261	1198
262	8290	1166
263	8321	1134
264	8353	1103
265	8386	1072
266	8419	1040
267	8453	1009
268	8483	977
269	8514	946
270	8546	914
271	8578	883
272	8608	851
273	8636	819
274	8666	787
275	8700	756
276	8731	724
277	8759	693
278	8789	661
279	8818	629
280	8844	598
281	8873	566
282	8900	534
283	8930	503
284	8961	471
285	8989	440
286	9018	408
287	9047	376
288	9074	345
289	9100	313
290	9126	282
291	9156	250
292	9180	219
293	9208	187
294	9234	156
295	9260	125
296	9287	93
297	9313	62
298	9337	31
299	9362	0
